,,,Pillars,,,,Dimensions,,,,,,,,,
Country,Total score,,Government,Technology Sector,Data and Infrastructure,,Vision,Governance and Ethics,Digital Capacity,Adaptability,Maturity,Innovation Capacity,Human Capital,Infrastructure,Data Availability,Data Representativeness
San Marino,48.08,,37.11,44.21,62.94,,0.00,49.89,35.60,62.94,38.33,47.76,46.53,39.92,61.02,87.87
Sao Tome and Principe,26.86,,25.41,19.96,35.22,,0.00,40.73,25.87,35.03,8.75,30.02,21.10,18.81,25.22,61.63
Saudi Arabia,67.04,,78.71,49.59,72.83,,100.00,65.63,87.52,61.68,30.16,49.95,68.65,71.17,75.28,72.06
Senegal,42.58,,59.65,27.67,40.43,,100.00,46.61,40.88,51.11,17.50,43.25,22.26,25.54,33.52,62.23
Serbia,55.57,,74.29,37.13,55.30,,100.00,78.12,67.99,51.03,22.02,42.83,46.55,32.78,56.04,77.09
Seychelles,38.11,,36.44,19.50,58.37,,0.00,36.37,48.02,61.39,28.94,5.21,24.36,60.66,56.08,N/A
Sierra Leone,24.83,,21.85,18.10,34.52,,0.00,20.26,29.43,37.73,4.40,30.13,19.77,16.34,31.29,55.92
Singapore,81.97,,90.40,66.19,89.32,,100.00,88.34,91.08,82.17,54.77,75.61,68.20,77.73,91.08,99.15
Slovakia,60.73,,67.70,40.60,73.90,,100.00,65.43,57.61,47.78,32.80,45.50,43.51,58.96,77.78,84.95
Slovenia,62.63,,71.75,41.86,74.29,,100.00,61.63,70.51,54.85,27.20,52.33,46.07,65.17,75.34,82.37
Solomon Islands,29.09,,23.72,23.41,40.14,,0.00,19.62,37.19,38.08,15.34,31.82,23.06,20.10,34.31,66.00
Somalia,21.98,,18.01,19.35,28.58,,0.00,20.51,26.97,24.56,7.44,30.03,20.57,13.21,17.26,55.26
South Africa,47.28,,37.82,40.22,63.79,,0.00,57.77,55.64,37.88,25.51,48.18,46.97,54.42,60.19,76.78
South Sudan,18.26,,13.36,17.80,23.61,,0.00,17.53,13.75,22.16,7.84,27.08,18.47,11.07,15.13,44.64
Spain,67.47,,72.86,50.96,78.60,,100.00,66.94,72.46,52.02,39.84,52.75,60.30,68.46,80.08,87.28
Sri Lanka,41.89,,42.05,33.02,50.60,,50.00,28.37,63.02,26.80,25.83,39.25,33.98,28.77,56.86,66.17
State of Palestine,33.14,,21.15,31.90,46.37,,0.00,25.72,34.88,24.00,17.52,49.75,28.44,44.67,34.35,60.08
Sudan,24.51,,15.42,23.35,34.75,,0.00,14.69,20.32,26.69,5.27,36.19,28.61,15.88,25.69,62.70
Suriname,35.52,,28.27,26.85,51.43,,0.00,44.56,28.77,39.76,19.21,29.71,31.63,30.10,52.45,71.75
Sweden,72.55,,74.70,62.71,80.26,,100.00,71.72,80.91,46.17,44.70,75.73,67.69,77.93,75.49,87.35
Switzerland,68.57,,57.33,62.96,85.42,,0.00,90.35,67.86,71.09,47.61,78.47,62.80,76.19,84.66,95.41
Syrian Arab Republic,18.12,,13.67,28.13,12.55,,0.00,9.59,26.67,18.44,6.95,42.09,35.37,11.94,24.35,1.37
Taiwan,70.25,,75.33,54.58,80.85,,100.00,60.07,71.99,69.27,35.76,62.17,65.81,74.48,78.85,89.20
Tajikistan,38.78,,53.18,20.41,42.77,,100.00,31.94,36.00,44.76,5.72,32.59,22.91,40.78,42.52,45.00
Thailand,63.03,,77.21,41.33,70.55,,100.00,75.50,77.20,56.16,27.67,59.16,37.18,62.04,77.30,72.31
Timor-Leste,29.77,,24.25,21.32,43.75,,0.00,20.93,38.64,37.41,10.82,30.22,22.91,23.41,38.26,69.57
Togo,29.69,,29.74,19.96,39.36,,0.00,41.36,33.75,43.86,8.80,29.94,21.13,36.76,27.32,53.99
Tonga,39.01,,35.37,33.52,48.14,,0.00,37.58,47.41,56.47,26.72,45.69,28.14,26.95,45.03,72.44
Trinidad and Tobago,39.44,,32.70,32.25,53.38,,0.00,46.76,45.51,38.52,22.96,29.34,44.45,32.82,44.53,82.79
Tunisia,46.07,,48.31,38.47,51.44,,50.00,54.89,55.67,32.70,22.40,47.04,45.97,26.25,60.05,68.03
TŸrkiye,60.51,,75.08,42.32,64.13,,100.00,74.82,73.43,52.05,29.87,47.49,49.59,51.15,67.23,74.02
