"Table 3: GDHI per head of population at current basic prices, pounds [note 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL,ITL code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ITL3,TLE45,Wakefield,"9,112","9,332","9,746","10,272","10,607","10,920","11,444","11,929","12,249","12,646","13,299","13,313","13,560","13,726","13,652","14,068","14,565","14,893","15,599","15,716","16,329","16,875","17,401","17,598","18,092","19,101","20,706"
ITL1,TLF,East Midlands,"9,640","9,828","10,269","10,657","11,100","11,391","11,841","12,305","12,629","13,048","13,798","13,957","14,189","14,215","14,492","14,973","15,426","15,907","16,674","16,697","17,154","17,687","18,298","18,455","19,026","19,995","21,656"
ITL2,TLF1,Derbyshire and Nottinghamshire,"9,167","9,432","9,930","10,245","10,749","11,036","11,528","11,992","12,228","12,670","13,370","13,573","13,810","13,739","13,921","14,410","14,957","15,456","16,280","16,305","16,649","17,204","17,832","18,042","18,572","19,524","21,205"
ITL3,TLF11,Derby,"9,175","9,250","9,722","9,716","10,156","10,550","10,840","11,353","11,307","12,008","12,296","12,216","12,881","12,487","12,493","13,084","13,438","14,068","14,543","14,606","15,186","15,659","16,206","16,348","16,719","17,553","18,915"
ITL3,TLF12,East Derbyshire,"8,351","8,667","9,225","9,564","10,369","10,610","10,835","11,225","11,529","12,074","12,740","12,676","12,890","12,892","13,187","13,669","14,029","14,428","15,386","15,255","16,049","16,798","17,388","17,818","18,232","19,020","20,642"
ITL3,TLF13,South and West Derbyshire,"9,431","9,711","10,255","10,651","11,053","11,392","12,308","12,892","13,273","13,805","14,532","14,780","14,927","14,986","15,512","16,034","16,853","17,248","18,448","18,505","18,553","19,304","19,976","20,049","20,519","21,632","23,589"
ITL3,TLF14,Nottingham,"8,195","8,407","8,900","9,202","9,431","9,592","9,802","9,756","9,904","10,135","10,582","10,848","10,839","10,873","10,902","11,207","11,832","12,252","12,767","12,974","13,127","13,383","13,974","14,254","14,882","15,562","16,823"
ITL3,TLF15,North Nottinghamshire,"8,771","9,114","9,522","10,023","10,475","10,820","11,235","11,877","12,100","12,325","13,206","13,491","13,819","13,731","13,778","14,150","14,542","15,119","16,032","16,023","16,433","17,046","17,644","17,871","18,369","19,411","21,031"
ITL3,TLF16,South Nottinghamshire,"10,814","11,081","11,592","11,763","12,491","12,705","13,307","13,847","14,142","14,666","15,640","16,049","16,244","16,127","16,189","16,921","17,511","18,123","18,749","18,748","19,080","19,454","20,172","20,335","21,062","22,176","24,203"
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire","10,183","10,257","10,671","11,173","11,558","11,837","12,257","12,732","13,094","13,538","14,348","14,406","14,587","14,652","15,017","15,506","15,895","16,343","17,127","17,138","17,723","18,221","18,802","18,896","19,520","20,475","22,095"
ITL3,TLF21,Leicester,"8,256","8,075","8,516","8,992","9,337","9,641","9,825","10,005","9,952","10,206","10,692","10,603","10,916","11,108","11,118","11,473","11,626","11,930","12,293","12,499","12,818","13,101","13,536","13,894","14,505","15,159","16,067"
ITL3,TLF22,Leicestershire CC and Rutland,"10,774","10,969","11,351","11,751","12,145","12,415","13,054","13,604","14,012","14,360","15,120","15,193","15,492","15,605","15,851","16,323","16,761","17,224","18,041","17,946","18,745","19,382","20,115","20,053","20,677","21,666","23,513"
