Country,GDP_Per_Capita,AI_Score,Labor_Cost_Norm,AI_Score_Norm,Income_Group,Efficiency_Index,Strategy_Label
Slovak Republic,24614.8734642794,60.73,0.09585238989971627,0.7408808100524582,High Income,0.645028420152742,0
Slovenia,32660.4753581346,62.63,0.12718264113285138,0.7640600219592534,High Income,0.636877380826402,0
Sweden,54950.2834725622,72.55,0.21398103078431413,0.8850799072831523,High Income,0.6710988764988381,0
Eswatini,3755.52111232464,27.05,0.014624315435037553,0.3299987800414786,Lower-Mid,0.31537446460644103,0
Seychelles,18262.7115849287,38.11,0.07111653667466447,0.46492619250945466,Upper-Mid,0.3938096558347902,0
Chad,949.333453674592,23.44,0.0036967844047020018,0.2859582774185678,Low Income,0.28226149301386577,0
Togo,1055.01727877926,29.69,0.004108326118484386,0.3622056850067098,Low Income,0.3580973588882254,0
Thailand,7195.10130919449,63.03,0.02801833034233147,0.7689398560448945,Lower-Mid,0.740921525702563,0
Tajikistan,1178.47990060249,38.78,0.00458909996370504,0.4730999146029035,Low Income,0.46851081463919847,0
Turkmenistan,6231.91323839698,31.17,0.02426759489196172,0.3802610711235818,Lower-Mid,0.3559934762316201,0
Timor-Leste,1502.41147438211,29.77,0.005850516787797653,0.363181651823838,Low Income,0.35733113503604036,0
Tonga,5651.59373063157,39.01,0.022007781864465826,0.4759058192021471,Lower-Mid,0.45389803733768125,0
Trinidad and Tobago,18308.4536298575,39.44,0.07129466004920419,0.48115164084421125,Upper-Mid,0.40985698079500704,0
Tunisia,3951.11683376921,46.07,0.0153859816439591,0.5620348908137124,Lower-Mid,0.5466489091697533,0
Tuvalu,6344.7750188689,37.45,0.02470708816834478,0.45687446626814693,Lower-Mid,0.43216737809980216,0
Uganda,1002.30913917142,33.44,0.0039030761847030477,0.4079541295595949,Low Income,0.4040510533748919,0
Ukraine,5139.59814453125,53.29,0.020014027940967512,0.650115896059534,Lower-Mid,0.6301018681185665,0
Uruguay,23019.4221560046,60.57,0.08963956816456925,0.7389288764182018,Upper-Mid,0.6492893082536326,0
Uzbekistan,2878.96879292451,43.79,0.01121094689554173,0.5342198365255582,Lower-Mid,0.5230088896300165,0
Viet Nam,4323.35031982451,54.48,0.01683549018158699,0.6646334024643162,Lower-Mid,0.6477979122827292,0
Vanuatu,3482.61458237637,31.91,0.013561594428052033,0.3892887641820178,Lower-Mid,0.37572716975396575,0
Samoa,4822.74084650019,31.66,0.018780158942310325,0.38623886787849215,Lower-Mid,0.3674587089361818,0
South Africa,6034.27208964673,47.28,0.0234979636168821,0.5767963889227766,Lower-Mid,0.5532984253058946,0
Zambia,1330.72780576709,32.36,0.00518196612604505,0.39477857752836404,Low Income,0.389596611402319,0
Zimbabwe,2195.22492079245,30.71,0.008548390684629167,0.37464926192509457,Low Income,0.3661008712404654,0
